year,state,state_po,state_fips,state_cen,state_ic,candidate,candidatevotes,totalvotes,party
1976,ALABAMA,AL,1,63,41,"CARTER, JIMMY",659170,1182850,DEMOCRAT
1976,ALABAMA,AL,1,63,41,"FORD, GERALD",504070,1182850,REPUBLICAN
1976,ALASKA,AK,2,94,81,"FORD, GERALD",71555,123574,REPUBLICAN
1976,ALASKA,AK,2,94,81,"CARTER, JIMMY",44058,123574,DEMOCRAT
1976,ARIZONA,AZ,4,86,61,"FORD, GERALD",418642,742719,REPUBLICAN
1976,ARIZONA,AZ,4,86,61,"CARTER, JIMMY",295602,742719,DEMOCRAT
1976,ARKANSAS,AR,5,71,42,"CARTER, JIMMY",498604,767535,DEMOCRAT
1976,ARKANSAS,AR,5,71,42,"FORD, GERALD",267903,767535,REPUBLICAN
1976,CALIFORNIA,CA,6,93,71,"FORD, GERALD",3882244,7803770,REPUBLICAN
1976,CALIFORNIA,CA,6,93,71,"CARTER, JIMMY",3742284,7803770,DEMOCRAT
1976,COLORADO,CO,8,84,62,"FORD, GERALD",584278,1081440,REPUBLICAN
1976,COLORADO,CO,8,84,62,"CARTER, JIMMY",460801,1081440,DEMOCRAT
1976,CONNECTICUT,CT,9,16,1,"FORD, GERALD",719261,1386355,REPUBLICAN
1976,CONNECTICUT,CT,9,16,1,"CARTER, JIMMY",647895,1386355,DEMOCRAT
1976,DELAWARE,DE,10,51,11,"CARTER, JIMMY",122461,235642,DEMOCRAT
1976,DELAWARE,DE,10,51,11,"FORD, GERALD",109780,235642,REPUBLICAN
1976,DISTRICT OF COLUMBIA,DC,11,53,55,"CARTER, JIMMY",137818,168830,DEMOCRAT
1976,DISTRICT OF COLUMBIA,DC,11,53,55,"FORD, GERALD",27873,168830,REPUBLICAN
1976,FLORIDA,FL,12,59,43,"CARTER, JIMMY",1636000,3150631,DEMOCRAT
1976,FLORIDA,FL,12,59,43,"FORD, GERALD",1469531,3150631,REPUBLICAN
1976,GEORGIA,GA,13,58,44,"CARTER, JIMMY",979409,1463152,DEMOCRAT
1976,GEORGIA,GA,13,58,44,"FORD, GERALD",483743,1463152,REPUBLICAN
1976,HAWAII,HI,15,95,82,"CARTER, JIMMY",147375,291301,DEMOCRAT
1976,HAWAII,HI,15,95,82,"FORD, GERALD",140003,291301,REPUBLICAN
1976,IDAHO,ID,16,82,63,"FORD, GERALD",204151,340932,REPUBLICAN
1976,IDAHO,ID,16,82,63,"CARTER, JIMMY",126549,340932,DEMOCRAT
1976,ILLINOIS,IL,17,33,21,"FORD, GERALD",2364269,4721282,REPUBLICAN
1976,ILLINOIS,IL,17,33,21,"CARTER, JIMMY",2271295,4721282,DEMOCRAT
1976,INDIANA,IN,18,32,22,"FORD, GERALD",1183958,2220362,REPUBLICAN
1976,INDIANA,IN,18,32,22,"CARTER, JIMMY",1014714,2220362,DEMOCRAT
1976,IOWA,IA,19,42,31,"FORD, GERALD",632864,1279303,REPUBLICAN
1976,IOWA,IA,19,42,31,"CARTER, JIMMY",619931,1279303,DEMOCRAT
1976,KANSAS,KS,20,47,32,"FORD, GERALD",502752,957845,REPUBLICAN
1976,KANSAS,KS,20,47,32,"CARTER, JIMMY",430421,957845,DEMOCRAT
1976,KENTUCKY,KY,21,61,51,"CARTER, JIMMY",615717,1167142,DEMOCRAT
1976,KENTUCKY,KY,21,61,51,"FORD, GERALD",531852,1167142,REPUBLICAN
1976,LOUISIANA,LA,22,72,45,"CARTER, JIMMY",661365,1277383,DEMOCRAT
1976,LOUISIANA,LA,22,72,45,"FORD, GERALD",587446,1277383,REPUBLICAN
1976,MAINE,ME,23,11,2,"FORD, GERALD",236320,482968,REPUBLICAN
1976,MAINE,ME,23,11,2,"CARTER, JIMMY",232279,482968,DEMOCRAT
1976,MARYLAND,MD,24,52,52,"CARTER, JIMMY",759612,1432273,DEMOCRAT
1976,MARYLAND,MD,24,52,52,"FORD, GERALD",672661,1432273,REPUBLICAN
1976,MASSACHUSETTS,MA,25,14,3,"CARTER, JIMMY",1429475,2547558,DEMOCRAT
1976,MASSACHUSETTS,MA,25,14,3,"FORD, GERALD",1030276,2547558,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,"FORD, GERALD",1893742,3651590,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,"CARTER, JIMMY",1696714,3651590,DEMOCRAT
1976,MINNESOTA,MN,27,41,33,"CARTER, JIMMY",1070440,1949931,DEMOCRAT
1976,MINNESOTA,MN,27,41,33,"FORD, GERALD",819395,1949931,REPUBLICAN
1976,MISSISSIPPI,MS,28,64,46,"CARTER, JIMMY",381329,768390,DEMOCRAT
1976,MISSISSIPPI,MS,28,64,46,"FORD, GERALD",366846,768390,REPUBLICAN
1976,MISSOURI,MO,29,43,34,"CARTER, JIMMY",998387,1953600,DEMOCRAT
1976,MISSOURI,MO,29,43,34,"FORD, GERALD",927443,1953600,REPUBLICAN
1976,MONTANA,MT,30,81,64,"FORD, GERALD",173703,328734,REPUBLICAN
1976,MONTANA,MT,30,81,64,"CARTER, JIMMY",149259,328734,DEMOCRAT
1976,NEBRASKA,NE,31,46,35,"FORD, GERALD",359219,606749,REPUBLICAN
1976,NEBRASKA,NE,31,46,35,"CARTER, JIMMY",233293,606749,DEMOCRAT
1976,NEVADA,NV,32,88,65,"FORD, GERALD",101273,201876,REPUBLICAN
1976,NEVADA,NV,32,88,65,"CARTER, JIMMY",92479,201876,DEMOCRAT
1976,NEW HAMPSHIRE,NH,33,12,4,"FORD, GERALD",185935,339627,REPUBLICAN
1976,NEW HAMPSHIRE,NH,33,12,4,"CARTER, JIMMY",147645,339627,DEMOCRAT
1976,NEW JERSEY,NJ,34,22,12,"FORD, GERALD",1509688,3014472,REPUBLICAN
1976,NEW JERSEY,NJ,34,22,12,"CARTER, JIMMY",1444653,3014472,DEMOCRAT
1976,NEW MEXICO,NM,35,85,66,"FORD, GERALD",211419,416590,REPUBLICAN
1976,NEW MEXICO,NM,35,85,66,"CARTER, JIMMY",201148,416590,DEMOCRAT
1976,NEW YORK,NY,36,21,13,"CARTER, JIMMY",3389558,6668262,DEMOCRAT
1976,NEW YORK,NY,36,21,13,"FORD, GERALD",3100791,6668262,REPUBLICAN
1976,NORTH CAROLINA,NC,37,56,47,"CARTER, JIMMY",927365,1677906,DEMOCRAT
1976,NORTH CAROLINA,NC,37,56,47,"FORD, GERALD",741960,1677906,REPUBLICAN
1976,NORTH DAKOTA,ND,38,44,36,"FORD, GERALD",153684,297308,REPUBLICAN
1976,NORTH DAKOTA,ND,38,44,36,"CARTER, JIMMY",136078,297308,DEMOCRAT
1976,OHIO,OH,39,31,24,"CARTER, JIMMY",2009959,4110456,DEMOCRAT
1976,OHIO,OH,39,31,24,"FORD, GERALD",2000626,4110456,REPUBLICAN
1976,OKLAHOMA,OK,40,73,53,"FORD, GERALD",545708,1092251,REPUBLICAN
1976,OKLAHOMA,OK,40,73,53,"CARTER, JIMMY",532442,1092251,DEMOCRAT
1976,OREGON,OR,41,92,72,"FORD, GERALD",492120,1029876,REPUBLICAN
1976,OREGON,OR,41,92,72,"CARTER, JIMMY",490407,1029876,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,"CARTER, JIMMY",2328677,4620787,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,"FORD, GERALD",2205604,4620787,REPUBLICAN
1976,RHODE ISLAND,RI,44,15,5,"CARTER, JIMMY",227636,410584,DEMOCRAT
1976,RHODE ISLAND,RI,44,15,5,"FORD, GERALD",181249,410584,REPUBLICAN
1976,SOUTH CAROLINA,SC,45,57,48,"CARTER, JIMMY",450807,802583,DEMOCRAT
1976,SOUTH CAROLINA,SC,45,57,48,"FORD, GERALD",346149,802583,REPUBLICAN
1976,SOUTH DAKOTA,SD,46,45,37,"FORD, GERALD",151505,300678,REPUBLICAN
1976,SOUTH DAKOTA,SD,46,45,37,"CARTER, JIMMY",147068,300678,DEMOCRAT
1976,TENNESSEE,TN,47,62,54,"CARTER, JIMMY",825879,1476346,DEMOCRAT
1976,TENNESSEE,TN,47,62,54,"FORD, GERALD",633969,1476346,REPUBLICAN
1976,TEXAS,TX,48,74,49,"CARTER, JIMMY",2082319,4071884,DEMOCRAT
1976,TEXAS,TX,48,74,49,"FORD, GERALD",1953300,4071884,REPUBLICAN
1976,UTAH,UT,49,87,67,"FORD, GERALD",337908,541218,REPUBLICAN
1976,UTAH,UT,49,87,67,"CARTER, JIMMY",182110,541218,DEMOCRAT
1976,VERMONT,VT,50,13,6,"FORD, GERALD",100387,183902,REPUBLICAN
1976,VERMONT,VT,50,13,6,"CARTER, JIMMY",77798,183902,DEMOCRAT
1976,VIRGINIA,VA,51,54,40,"FORD, GERALD",836554,1697094,REPUBLICAN
1976,VIRGINIA,VA,51,54,40,"CARTER, JIMMY",813896,1697094,DEMOCRAT
1976,WASHINGTON,WA,53,91,73,"FORD, GERALD",777732,1555534,REPUBLICAN
1976,WASHINGTON,WA,53,91,73,"CARTER, JIMMY",717323,1555534,DEMOCRAT
1976,WEST VIRGINIA,WV,54,55,56,"CARTER, JIMMY",435864,750590,DEMOCRAT
1976,WEST VIRGINIA,WV,54,55,56,"FORD, GERALD",314726,750590,REPUBLICAN
1976,WISCONSIN,WI,55,35,25,"CARTER, JIMMY",1040232,2101336,DEMOCRAT
1976,WISCONSIN,WI,55,35,25,"FORD, GERALD",1004987,2101336,REPUBLICAN
1976,WYOMING,WY,56,83,68,"FORD, GERALD",92717,156343,REPUBLICAN
1976,WYOMING,WY,56,83,68,"CARTER, JIMMY",62239,156343,DEMOCRAT
1980,ALABAMA,AL,1,63,41,"REAGAN, RONALD",654192,1341929,REPUBLICAN
1980,ALABAMA,AL,1,63,41,"CARTER, JIMMY",636730,1341929,DEMOCRAT
1980,ALASKA,AK,2,94,81,"REAGAN, RONALD",86112,158445,REPUBLICAN
1980,ALASKA,AK,2,94,81,"CARTER, JIMMY",41842,158445,DEMOCRAT
1980,ARIZONA,AZ,4,86,61,"REAGAN, RONALD",529688,873945,REPUBLICAN
1980,ARIZONA,AZ,4,86,61,"CARTER, JIMMY",246843,873945,DEMOCRAT
1980,ARKANSAS,AR,5,71,42,"REAGAN, RONALD",403164,837582,REPUBLICAN
1980,ARKANSAS,AR,5,71,42,"CARTER, JIMMY",398041,837582,DEMOCRAT
1980,CALIFORNIA,CA,6,93,71,"REAGAN, RONALD",4522994,8582938,REPUBLICAN
1980,CALIFORNIA,CA,6,93,71,"CARTER, JIMMY",3082943,8582938,DEMOCRAT
1980,COLORADO,CO,8,84,62,"REAGAN, RONALD",652264,1184450,REPUBLICAN
1980,COLORADO,CO,8,84,62,"CARTER, JIMMY",368009,1184450,DEMOCRAT
1980,CONNECTICUT,CT,9,16,1,"REAGAN, RONALD",677210,1406285,REPUBLICAN
1980,CONNECTICUT,CT,9,16,1,"CARTER, JIMMY",541732,1406285,DEMOCRAT
1980,DELAWARE,DE,10,51,11,"REAGAN, RONALD",111252,235668,REPUBLICAN
1980,DELAWARE,DE,10,51,11,"CARTER, JIMMY",105754,235668,DEMOCRAT
1980,DISTRICT OF COLUMBIA,DC,11,53,55,"CARTER, JIMMY",130231,173889,DEMOCRAT
1980,DISTRICT OF COLUMBIA,DC,11,53,55,"REAGAN, RONALD",23313,173889,REPUBLICAN
1980,FLORIDA,FL,12,59,43,"REAGAN, RONALD",2046951,3686927,REPUBLICAN
1980,FLORIDA,FL,12,59,43,"CARTER, JIMMY",1419475,3686927,DEMOCRAT
1980,GEORGIA,GA,13,58,44,"CARTER, JIMMY",890955,1596805,DEMOCRAT
1980,GEORGIA,GA,13,58,44,"REAGAN, RONALD",654168,1596805,REPUBLICAN
1980,HAWAII,HI,15,95,82,"CARTER, JIMMY",135879,303287,DEMOCRAT
1980,HAWAII,HI,15,95,82,"REAGAN, RONALD",130112,303287,REPUBLICAN
1980,IDAHO,ID,16,82,63,"REAGAN, RONALD",290699,437431,REPUBLICAN
1980,IDAHO,ID,16,82,63,"CARTER, JIMMY",110192,437431,DEMOCRAT
1980,ILLINOIS,IL,17,33,21,"REAGAN, RONALD",2358049,4749721,REPUBLICAN
1980,ILLINOIS,IL,17,33,21,"CARTER, JIMMY",1981413,4749721,DEMOCRAT
1980,INDIANA,IN,18,32,22,"REAGAN, RONALD",1255656,2242033,REPUBLICAN
1980,INDIANA,IN,18,32,22,"CARTER, JIMMY",844197,2242033,DEMOCRAT
1980,IOWA,IA,19,42,31,"REAGAN, RONALD",676026,1317661,REPUBLICAN
1980,IOWA,IA,19,42,31,"CARTER, JIMMY",508672,1317661,DEMOCRAT
1980,KANSAS,KS,20,47,32,"REAGAN, RONALD",566812,979795,REPUBLICAN
1980,KANSAS,KS,20,47,32,"CARTER, JIMMY",326150,979795,DEMOCRAT
1980,KENTUCKY,KY,21,61,51,"REAGAN, RONALD",635274,1295627,REPUBLICAN
1980,KENTUCKY,KY,21,61,51,"CARTER, JIMMY",617417,1295627,DEMOCRAT
1980,LOUISIANA,LA,22,72,45,"REAGAN, RONALD",792853,1548591,REPUBLICAN
1980,LOUISIANA,LA,22,72,45,"CARTER, JIMMY",708453,1548591,DEMOCRAT
1980,MAINE,ME,23,11,2,"REAGAN, RONALD",238522,523011,REPUBLICAN
1980,MAINE,ME,23,11,2,"CARTER, JIMMY",220974,523011,DEMOCRAT
1980,MARYLAND,MD,24,52,52,"CARTER, JIMMY",726161,1540496,DEMOCRAT
1980,MARYLAND,MD,24,52,52,"REAGAN, RONALD",680606,1540496,REPUBLICAN
1980,MASSACHUSETTS,MA,25,14,3,"REAGAN, RONALD",1057631,2524090,REPUBLICAN
1980,MASSACHUSETTS,MA,25,14,3,"CARTER, JIMMY",1053802,2524090,DEMOCRAT
1980,MICHIGAN,MI,26,34,23,"REAGAN, RONALD",1915225,3909725,REPUBLICAN
1980,MICHIGAN,MI,26,34,23,"CARTER, JIMMY",1661532,3909725,DEMOCRAT
1980,MINNESOTA,MN,27,41,33,"CARTER, JIMMY",954173,2051916,DEMOCRAT
1980,MINNESOTA,MN,27,41,33,"REAGAN, RONALD",873268,2051916,REPUBLICAN
1980,MISSISSIPPI,MS,28,64,46,"REAGAN, RONALD",441089,891750,REPUBLICAN
1980,MISSISSIPPI,MS,28,64,46,"CARTER, JIMMY",429281,891750,DEMOCRAT
1980,MISSOURI,MO,29,43,34,"REAGAN, RONALD",1074181,2099824,REPUBLICAN
1980,MISSOURI,MO,29,43,34,"CARTER, JIMMY",931182,2099824,DEMOCRAT
1980,MONTANA,MT,30,81,64,"REAGAN, RONALD",206814,363952,REPUBLICAN
1980,MONTANA,MT,30,81,64,"CARTER, JIMMY",118032,363952,DEMOCRAT
1980,NEBRASKA,NE,31,46,35,"REAGAN, RONALD",419214,639533,REPUBLICAN
1980,NEBRASKA,NE,31,46,35,"CARTER, JIMMY",166424,639533,DEMOCRAT
1980,NEVADA,NV,32,88,65,"REAGAN, RONALD",155017,243692,REPUBLICAN
1980,NEVADA,NV,32,88,65,"CARTER, JIMMY",66666,243692,DEMOCRAT
1980,NEW HAMPSHIRE,NH,33,12,4,"REAGAN, RONALD",221705,383990,REPUBLICAN
1980,NEW HAMPSHIRE,NH,33,12,4,"CARTER, JIMMY",108864,383990,DEMOCRAT
1980,NEW JERSEY,NJ,34,22,12,"REAGAN, RONALD",1546557,2975684,REPUBLICAN
1980,NEW JERSEY,NJ,34,22,12,"CARTER, JIMMY",1147364,2975684,DEMOCRAT
1980,NEW MEXICO,NM,35,85,66,"REAGAN, RONALD",250779,456237,REPUBLICAN
1980,NEW MEXICO,NM,35,85,66,"CARTER, JIMMY",167826,456237,DEMOCRAT
1980,NEW YORK,NY,36,21,13,"CARTER, JIMMY",2728372,6201959,DEMOCRAT
1980,NEW YORK,NY,36,21,13,"REAGAN, RONALD",2893831,6201959,REPUBLICAN
1980,NORTH CAROLINA,NC,37,56,47,"REAGAN, RONALD",915018,1855833,REPUBLICAN
1980,NORTH CAROLINA,NC,37,56,47,"CARTER, JIMMY",875635,1855833,DEMOCRAT
1980,NORTH DAKOTA,ND,38,44,36,"REAGAN, RONALD",193695,301116,REPUBLICAN
1980,NORTH DAKOTA,ND,38,44,36,"CARTER, JIMMY",79189,301116,DEMOCRAT
1980,OHIO,OH,39,31,24,"REAGAN, RONALD",2206545,4283603,REPUBLICAN
1980,OHIO,OH,39,31,24,"CARTER, JIMMY",1752414,4283603,DEMOCRAT
1980,OKLAHOMA,OK,40,73,53,"REAGAN, RONALD",695570,1149708,REPUBLICAN
1980,OKLAHOMA,OK,40,73,53,"CARTER, JIMMY",402026,1149708,DEMOCRAT
1980,OREGON,OR,41,92,72,"REAGAN, RONALD",571044,1181516,REPUBLICAN
1980,OREGON,OR,41,92,72,"CARTER, JIMMY",456890,1181516,DEMOCRAT
1980,PENNSYLVANIA,PA,42,23,14,"REAGAN, RONALD",2261872,4561501,REPUBLICAN
1980,PENNSYLVANIA,PA,42,23,14,"CARTER, JIMMY",1937540,4561501,DEMOCRAT
1980,RHODE ISLAND,RI,44,15,5,"CARTER, JIMMY",198342,415967,DEMOCRAT
1980,RHODE ISLAND,RI,44,15,5,"REAGAN, RONALD",154793,415967,REPUBLICAN
1980,SOUTH CAROLINA,SC,45,57,48,"REAGAN, RONALD",439277,888258,REPUBLICAN
1980,SOUTH CAROLINA,SC,45,57,48,"CARTER, JIMMY",428220,888258,DEMOCRAT
1980,SOUTH DAKOTA,SD,46,45,37,"REAGAN, RONALD",198343,327703,REPUBLICAN
1980,SOUTH DAKOTA,SD,46,45,37,"CARTER, JIMMY",103855,327703,DEMOCRAT
1980,TENNESSEE,TN,47,62,54,"REAGAN, RONALD",787761,1617616,REPUBLICAN
1980,TENNESSEE,TN,47,62,54,"CARTER, JIMMY",783051,1617616,DEMOCRAT
1980,TEXAS,TX,48,74,49,"REAGAN, RONALD",2510705,4541636,REPUBLICAN
